Disaster_Number,IH_Program_Declared,IA_Program_Declared,PA_Program_Declared,HM_Program_Declared,State ,Declaration_Date,Disaster_Type,Incident_Type,Title,Incident_Begin_Date,Incident_End_Date,Disaster_Close_Out_Date,Area,Declaration_Request_Number
4353,Yes,No,Yes,Yes,CA,1/2/18,DR,Fire,"WILDFIRES, FLOODING, MUDFLOWS, AND DEBRIS FLOWS",12/4/17,1/31/18,,San Diego (County),18001
3396,No,No,Yes,No,CA,12/8/17,EM,Fire,WILDFIRES,12/4/17,12/29/17,,San Diego (County),17146
4305,No,No,Yes,Yes,CA,3/16/17,DR,Flood,"SEVERE WINTER STORMS, FLOODING, AND MUDSLIDES",1/18/17,1/23/17,,San Diego (County),17027
1952,No,No,Yes,Yes,CA,1/26/11,DR,Flood,"SEVERE WINTER STORMS, FLOODING, AND DEBRIS AND MUD FLOWS",12/17/10,1/4/11,,San Diego (County),11002
1731,Yes,Yes,Yes,Yes,CA,10/24/07,DR,Fire,"WILDFIRES, FLOODING, MUD FLOWS, AND DEBRIS FLOWS",10/21/07,3/31/08,,San Diego (County),7923
3279,No,No,Yes,No,CA,10/23/07,EM,Fire,WILDFIRES,10/21/07,3/31/08,4/19/12,San Diego (County),7922
2739,No,No,Yes,No,CA,10/22/07,FM,Fire,RICE FIRE,10/22/07,,4/8/08,San Diego (County),7921
2735,No,No,Yes,No,CA,10/21/07,FM,Fire,HARRIS FIRE,10/21/07,,4/8/08,San Diego (County),7917
2734,No,No,Yes,No,CA,10/21/07,FM,Fire,WITCH FIRE,10/22/07,,4/8/08,San Diego (County),7916
2729,No,No,Yes,No,CA,9/15/07,FM,Fire,ANGEL FIRE,9/15/07,9/20/07,5/11/10,San Diego (County),7905
1689,No,Yes,No,Yes,CA,3/13/07,DR,Freezing,SEVERE FREEZE,1/11/07,1/17/07,1/8/14,San Diego (County),7795
2656,No,No,Yes,No,CA,7/24/06,FM,Fire,HORSE FIRE,7/24/06,7/29/06,10/13/09,San Diego (County),6126
2585,No,No,Yes,No,CA,10/6/05,FM,Fire,BORDER # 50 FIRE,10/5/05,10/10/05,12/3/09,San Diego (County),5143
3248,No,No,Yes,No,CA,9/13/05,EM,Hurricane,HURRICANE KATRINA EVACUATION,8/29/05,10/1/05,11/29/11,San Diego (County),5117
2582,No,No,Yes,No,CA,9/5/05,FM,Fire,SUNDEVIL FIRE,9/5/05,9/7/05,12/3/09,San Diego (County),5098
1585,No,No,Yes,Yes,CA,4/14/05,DR,Severe Storm(s),"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUD AND DEBRIS FLOWS",2/16/05,2/23/05,12/2/15,San Diego (County),5027
1577,Yes,Yes,Yes,Yes,CA,2/4/05,DR,Severe Storm(s),"SEVERE STORMS, FLOODING, DEBRIS FLOWS, AND MUDSLIDES",12/27/04,1/11/05,9/28/18,San Diego (County),5012
2529,No,No,Yes,No,CA,7/14/04,FM,Fire,CA - MATAGUAY FIRE - 7-13-2004,7/13/04,7/18/04,8/27/09,San Diego (County),4060
1498,Yes,Yes,Yes,Yes,CA,10/27/03,DR,Fire,"WILDFIRES, FLOODING, MUDFLOW AND DEBRIS FLOW DIRECTLY RELATED T ",10/21/03,3/31/04,,San Diego (County),3122
2506,No,No,Yes,No,CA,10/26/03,FM,Fire,PARADISE FIRE,10/26/03,,1/21/04,San Diego (County),3127
2505,No,No,Yes,No,CA,10/26/03,FM,Fire,CA-CEDAR FIRE-10-26-2003,10/25/03,12/5/03,1/21/04,San Diego (County),3126
2456,No,No,Yes,No,CA,7/30/02,FS,Fire,CA - PINES FIRE - 07/30/02,7/29/02,8/22/02,7/28/10,San Diego (County),2103
2396,No,No,Yes,No,CA,2/11/02,FS,Fire,GAVILAN FIRE,2/10/02,2/15/02,4/5/07,San Diego (County),2018
1203,No,Yes,Yes,No,CA,2/9/98,DR,Severe Storm(s),SEVERE WINTER STORMS AND FLOODING,2/2/98,4/30/98,7/22/14,San Diego (County),98016
3120,No,Yes,Yes,Yes,CA,10/23/96,EM,Fire,SEVERE FIRESTORMS,10/21/96,10/31/96,7/29/10,San Diego (County),97004
1046,No,Yes,Yes,Yes,CA,3/12/95,DR,Severe Storm(s),"SEVERE WINTER STORMS, FLOODING LANDSLIDES, MUD FLOW",2/13/95,4/19/95,7/17/12,San Diego (County),95017
1044,No,Yes,Yes,Yes,CA,1/10/95,DR,Severe Storm(s),"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, MUD FLOWS",1/3/95,2/10/95,5/2/12,San Diego (County),95009
1005,No,Yes,Yes,Yes,CA,10/28/93,DR,Fire,"FIRES, MUD/LANDSLIDES, FLOODING, SOIL EROSION",10/26/93,4/22/94,2/24/11,San Diego (County),93103
979,No,Yes,Yes,Yes,CA,2/3/93,DR,Flood,"SEVERE WINTER STORM, MUD & LAND SLIDES, & FLOODING",1/5/93,3/20/93,2/10/11,San Diego (County),93004
894,No,Yes,No,No,CA,2/11/91,DR,Freezing,SEVERE FREEZE,12/19/90,1/3/91,5/29/97,San Diego (County),91007
812,No,No,Yes,Yes,CA,2/5/88,DR,Flood,"SEVERE STORMS, HIGH TIDES & FLOODING",1/17/88,1/22/88,7/14/97,San Diego (County),88005
739,No,Yes,Yes,Yes,CA,7/18/85,DR,Fire,"GRASS, WILDLANDS, & FOREST FIRES",6/26/85,7/19/85,10/24/94,San Diego (County),85035
677,No,Yes,Yes,Yes,CA,2/9/83,DR,Coastal Storm,"COASTAL STORMS, FLOODS, SLIDES & TORNADOES",1/21/83,3/30/83,9/25/00,San Diego (County),83017
615,No,Yes,Yes,Yes,CA,2/21/80,DR,Flood,"SEVERE STORMS, MUDSLIDES & FLOODING",1/8/80,1/8/80,6/26/97,San Diego (County),80019
547,No,Yes,Yes,Yes,CA,2/15/78,DR,Flood,"COASTAL STORMS, MUDSLIDES & FLOODING",2/15/78,2/15/78,6/30/94,San Diego (County),78048
364,No,Yes,Yes,Yes,CA,2/8/73,DR,Flood,"SEVERE STORMS, HIGH TIDES & FLOODING",2/8/73,2/8/73,8/25/77,San Diego (County),73008
295,No,Yes,Yes,Yes,CA,9/29/70,DR,Fire,FOREST & BRUSH FIRES,9/29/70,9/29/70,11/12/76,San Diego (County),70022
223,No,Yes,Yes,Yes,CA,1/2/67,DR,Flood,SEVERE STORMS & FLOODING,1/2/67,1/2/67,4/10/70,San Diego (County),67017
211,No,Yes,Yes,Yes,CA,12/7/65,DR,Flood,HEAVY RAINS & FLOODING,12/7/65,12/7/65,3/3/70,San Diego (County),65037